edad,ingreso_mensual,gasto_mensual,deuda_total,score_crediticio,antiguedad_meses,frecuencia_compra,ultima_compra_dias,num_productos,genero_Masculino,genero_Otro,region_Norte,region_Sur,estado_civil_Divorciado,estado_civil_Soltero,uso_app_Bajo,uso_app_Medio,tipo_plan_Estandar,tipo_plan_Premium,canal_registro_Tienda,canal_registro_Web,dia_semana_registro_Jueves,dia_semana_registro_Lunes,dia_semana_registro_Martes,dia_semana_registro_Miercoles,dia_semana_registro_Sabado,dia_semana_registro_Viernes,abandono
50.0,839601.309261013,437604.7426317445,1866402.226938943,601.0948935201426,20.0,13.0,128.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
68.0,237196.2102688402,445604.733104147,1429368.971271249,631.1474738124615,41.0,8.0,320.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
35.0,923606.0864164076,213792.1932242376,1913974.486862802,480.5366982697749,106.0,15.0,165.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
29.0,963692.9136078252,235409.81717326815,1868289.916169576,553.908873908952,23.0,4.0,110.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
37.0,438037.8133759434,452868.1022589777,2405092.5394304995,651.5947522078071,72.0,11.0,76.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
25.0,666848.8984806963,256509.98813193312,1906281.348090628,677.3187318786752,42.0,3.0,57.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
49.0,577684.2915029947,261696.1011352195,3502163.8955834736,635.0699507871009,45.0,9.0,194.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
63.0,708459.8336791724,398746.78581756074,2407016.0023788847,608.8653321246026,31.0,18.0,77.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
46.0,1081897.607046109,420925.2860576884,1409554.1602880943,693.0862896720794,11.0,3.0,219.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
45.0,618368.0123106779,343311.336665094,1362805.9942585228,696.8279131103476,40.0,14.0,168.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
39.0,1042622.3435925004,526507.811274969,1833250.079280332,489.6089368857242,28.0,6.0,103.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
39.0,260565.9045751413,501964.52797643736,1844617.63704246,581.8051862462847,83.0,15.0,298.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
53.0,982791.0593320644,268104.76299285487,1824539.8233213976,532.1173384487014,84.0,12.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
47.0,804753.3494655648,552256.839483592,1515705.5420521975,553.6189671398162,76.0,3.0,94.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
54.0,804753.3494655648,627565.094845257,2032157.120549721,420.6959199737721,44.0,18.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
74.0,535101.3595688505,475849.0847081416,2537310.4928072216,708.3884911101092,24.0,10.0,177.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
75.0,318599.4233702727,238866.7315697777,1753459.6574316262,678.2198913228455,61.0,3.0,168.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
75.0,434902.25810357614,457372.745854148,1709108.649135265,580.8877479059116,81.0,16.0,72.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
74.0,800429.2154854331,387003.5121554971,1419417.7019677858,375.9343082584607,54.0,13.0,77.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
65.0,860632.1892479376,608532.2360488914,1642953.1130456692,568.7459550721937,6.0,6.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
68.0,978422.4320960038,568277.8137687745,1461686.8735502015,496.10517415152106,66.0,14.0,54.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
77.0,995854.3877548542,400127.6436811202,1914939.81243802,512.4378977129159,39.0,4.0,66.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
57.0,1124210.5052434325,518484.3590997511,1249048.3649387215,751.8484155909861,26.0,1.0,74.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
46.0,637660.8101447191,250724.36350680995,522429.8240958497,650.5667923092683,113.0,15.0,364.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54.0,547362.0642353762,273201.3101877881,-8694.468175977934,473.4468960949976,22.0,7.0,191.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
37.0,679423.5215182693,673294.9721809144,2238090.313627013,509.0351448834548,93.0,16.0,170.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
40.0,615022.6401487185,465828.3685172925,2429263.658805557,419.8054495855076,7.0,12.0,56.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
57.0,1006732.6500734374,362189.3493039734,1351483.4159984335,635.5243901500891,38.0,18.0,335.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20.0,640230.6347275052,471979.2014020101,2978739.552860663,647.201952518391,76.0,1.0,259.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
67.0,1068815.7278515,233545.41661537427,2058717.717811495,833.6347782535141,94.0,11.0,341.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
45.0,1244532.7122413423,354202.19437141856,2627164.048793306,614.8891735243137,30.0,3.0,139.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
75.0,893258.6399074072,297145.80346558266,1600022.8826041298,625.1287496067966,106.0,18.0,195.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
33.0,477143.199211549,337638.9447238783,2017402.775679333,680.5824234205404,97.0,18.0,247.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
38.0,688499.0815290672,386375.7119262613,9147170.145134851,523.9426926011125,36.0,10.0,327.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
45.0,489662.7170429136,649170.1003177345,3485914.929138626,604.0754838935483,19.0,12.0,28.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
59.0,413413.297305446,532755.5210444436,2105573.9601397505,525.6206368890914,89.0,5.0,178.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1
40.0,519087.993834009,202108.71482528947,2141961.0154415,450.9035890259941,5.0,4.0,141.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
26.0,789726.1003244212,223941.96855577675,1303975.6045472864,486.4043300651418,93.0,4.0,134.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
79.0,587560.0536454741,412350.36236981815,324534.2258836392,449.93818320549735,20.0,13.0,237.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
18.0,845188.6694755314,450599.1484831031,3100389.8514002734,603.0211641616595,43.0,18.0,50.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
65.0,553833.190432513,413686.2859787792,1489130.5767584536,537.40580474059,15.0,16.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
54.0,624337.9773587633,342056.4329880703,3297995.1697317893,514.9758121825954,48.0,7.0,254.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
61.0,591036.3611274826,59154.17818780331,2795497.317828592,460.3781286813284,64.0,5.0,145.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
30.0,1340697.7444491154,522965.10395783937,852978.586754377,498.8539654588932,39.0,11.0,166.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
72.0,876537.6385396706,462850.7884818267,2572951.066399405,280.6932373533284,83.0,2.0,329.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
29.0,762970.6889919334,404691.6938072872,2467340.667263809,431.9939673791043,15.0,5.0,128.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
43.0,794785.1342989799,382288.5049091066,3571474.546690181,313.9529693592247,81.0,4.0,347.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
31.0,975918.6375063529,387872.7042726541,1503934.086852498,651.8161287506168,51.0,6.0,3.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
70.0,814477.8174768372,455859.41855462006,3003230.57662311,604.5481364276488,1.0,11.0,163.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
61.0,771676.7494208185,243134.6586734104,-140806.0578984595,806.1031096256554,15.0,12.0,88.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
54.0,1150646.1358974995,652152.04945754,1418090.3402060205,779.5502541302152,48.0,19.0,151.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48.0,804753.3494655648,398746.78581756074,2275123.3696384784,631.453569194498,15.0,9.0,298.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
60.0,289837.7793653135,490136.0448032829,699194.4264360107,466.9320731876697,21.0,18.0,180.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
19.0,1075230.5523902036,403364.6462459252,1015112.4531617304,520.305151139133,116.0,3.0,64.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
37.0,715927.9521559952,388590.9052162603,2436381.259230653,631.209649682875,26.0,5.0,298.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
58.0,804753.3494655648,445067.53073421074,2189658.611439037,717.7483351908463,86.0,4.0,246.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
74.0,1255323.3914981775,342467.767440622,2796670.9813436097,649.7433191802054,85.0,19.0,123.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
64.0,639182.8891226372,275743.7317612471,1471581.2968274748,680.1970064858101,14.0,13.0,10.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
26.0,705155.6308356251,26360.740604008373,2504726.8594568223,716.6651781086016,38.0,5.0,212.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
20.0,706594.6650997122,256185.0288496844,1707827.9029665028,601.0948935201426,31.0,2.0,268.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36.0,930630.404375732,416103.07812207926,1983183.077320597,552.3752851482385,101.0,6.0,156.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
57.0,385468.2100970808,512866.9640417111,1774287.075410983,576.6970500560092,116.0,11.0,159.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
31.0,421734.20909663953,767822.7366339166,2846763.820872744,498.054000277044,79.0,3.0,219.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
61.0,515660.2588954087,164642.79035658826,2694847.54782699,758.35068516198,8.0,10.0,104.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
54.0,883953.2207268634,650427.4465438246,1927237.074703539,737.9466082404015,35.0,9.0,350.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
61.0,442716.47797892976,24556.90095682896,3513047.617109296,392.0382758551517,53.0,5.0,34.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
25.0,804753.3494655648,467639.52251314826,2223815.072960486,627.8396682605238,88.0,9.0,326.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
60.0,775561.380467845,398746.78581756074,2022309.1023816764,522.00133207115,76.0,1.0,258.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
68.0,909777.5658274824,398746.78581756074,2576128.067580931,606.1620105029937,82.0,8.0,142.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
61.0,931336.4781630272,447668.83495511656,3502797.445344951,441.3533375313837,15.0,6.0,152.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
28.0,916592.4592821926,140723.86181633786,2136780.1120850816,500.7147400980097,59.0,2.0,24.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
72.0,859743.2478633088,314562.99315054115,1179119.7001506172,469.8586951464273,75.0,16.0,120.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
77.0,1162120.026073817,430229.622930899,2690634.579917183,639.6219208068057,102.0,19.0,12.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
30.0,779706.4425720689,323956.13371857046,810963.545264174,628.6286042339411,59.0,6.0,334.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
52.0,695722.3230587539,587346.9773171276,1854966.6093943603,593.1558681352589,25.0,7.0,292.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
20.0,793587.4304226729,124032.01429663307,1584847.046552713,547.909560575148,22.0,16.0,155.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1
37.0,853580.6189416372,314790.85259112564,1190090.1176194253,543.1389119334278,6.0,2.0,102.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
58.0,1110486.562014628,327335.6429508486,1909644.652537504,535.7027920858976,118.0,14.0,123.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
22.0,896639.2602811039,74771.0854320752,2201613.819558627,750.7579694995128,2.0,2.0,73.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
55.0,662382.2271833892,302599.2359966329,3298358.9567945097,644.564815456105,116.0,18.0,19.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
76.0,1048900.8333352075,385467.32549184136,2841372.199729553,608.3738264186534,111.0,1.0,259.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
74.0,1013731.2341625596,426195.0923415221,2050039.9421029475,706.8253069977272,29.0,11.0,126.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
23.0,283200.2605736179,54394.81987596577,2310493.5928183,552.886599859332,78.0,13.0,90.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
44.0,951327.3827275812,307791.58606566925,1062080.593901778,679.8448752884868,34.0,14.0,217.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
78.0,706821.0753150274,156829.45081622765,1924305.991027895,679.3442202117345,59.0,19.0,136.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
