id_cliente,fecha_registro,edad,genero,region,estado_civil,ingreso_mensual,gasto_mensual,deuda_total,score_crediticio,antiguedad_meses,frecuencia_compra,ultima_compra_dias,uso_app,tipo_plan,num_productos,tiene_tarjeta_credito,canal_registro,dia_semana_registro,hora_registro,codigo_postal,abandono
52,2019-09-09,45,Otro,Norte,Divorciado,1244532.7122413425,354202.19437141856,2627164.048793306,614.8891735243137,30,3,139,Medio,Basico,3,1,Web,Martes,5,4546,1
53,2022-11-29,75,Femenino,Norte,Soltero,893258.6399074072,297145.80346558266,1600022.8826041298,625.1287496067966,106,18,195,Bajo,Premium,3,0,App,Miercoles,9,1596,1
54,2020-06-10,33,Masculino,Sur,Soltero,477143.199211549,337638.9447238783,2017402.7756793331,680.5824234205404,97,18,247,Bajo,Estandar,5,1,App,Jueves,17,9273,0
55,2018-07-13,38,Otro,Sur,Soltero,688499.0815290672,386375.7119262613,9147170.145134853,523.9426926011125,36,10,327,Alto,Premium,4,1,App,Miercoles,4,5440,1
56,2018-01-21,45,Masculino,Centro,Soltero,489662.71704291354,649170.1003177345,3485914.929138626,604.0754838935483,19,12,28,Bajo,Basico,3,0,Web,Lunes,7,5720,1
57,2020-06-05,59,Masculino,Sur,Casado,413413.297305446,532755.5210444436,2105573.9601397505,525.6206368890914,89,5,178,Bajo,Basico,4,1,Web,Martes,5,3383,1
58,2019-12-23,40,Otro,Sur,Casado,519087.993834009,202108.71482528947,2141961.0154414997,450.9035890259941,5,4,141,Alto,Estandar,4,1,App,Sabado,23,8768,0
59,2019-07-26,26,Otro,Sur,Casado,789726.1003244212,223941.96855577675,1303975.6045472864,486.4043300651418,93,4,134,Bajo,Estandar,2,0,Tienda,Viernes,15,2929,1
60,2021-05-29,79,Masculino,Centro,Casado,587560.0536454741,412350.36236981815,324534.2258836392,449.93818320549735,20,13,237,Medio,Basico,2,1,Web,Lunes,16,9826,1
61,2020-06-21,18,Femenino,Norte,Divorciado,845188.6694755314,450599.1484831031,3100389.8514002734,603.0211641616595,43,18,50,Medio,Premium,3,1,Web,Miercoles,9,4688,0
62,2019-08-20,65,Femenino,Centro,Soltero,553833.190432513,413686.2859787792,1489130.5767584536,537.40580474059,15,16,52,Alto,Premium,2,0,Web,Domingo,20,6420,0
63,2021-04-26,54,Masculino,Centro,Soltero,624337.9773587633,342056.4329880703,3297995.1697317893,514.9758121825954,48,7,254,Medio,Estandar,4,1,App,Domingo,2,4935,0
64,2022-04-30,61,Otro,Sur,Casado,591036.3611274826,59154.17818780331,2795497.317828592,460.37812868132835,64,5,145,Alto,Premium,2,0,App,Martes,9,8428,1
65,2018-10-13,30,Masculino,Sur,Casado,1340697.7444491154,522965.10395783937,852978.586754377,498.8539654588932,39,11,166,Bajo,Basico,3,0,Tienda,Jueves,12,2731,0
66,2019-09-12,72,Otro,Centro,Soltero,876537.6385396706,462850.7884818267,2572951.066399405,280.6932373533284,83,2,329,Medio,Premium,4,0,Tienda,Jueves,11,1469,0
67,2019-09-26,29,Femenino,Centro,Divorciado,762970.6889919334,404691.69380728714,2467340.667263809,431.9939673791043,15,5,128,Alto,Premium,4,1,App,Sabado,23,9886,0
68,2023-06-08,43,Femenino,Sur,Soltero,794785.1342989799,382288.5049091066,3571474.546690181,313.9529693592247,81,4,347,Bajo,Basico,4,1,Web,Miercoles,3,4856,1
69,2019-12-20,31,Masculino,Sur,Divorciado,975918.6375063529,387872.7042726541,1503934.086852498,651.8161287506168,51,6,3,Bajo,Basico,5,1,App,Martes,5,6906,1
70,2020-04-07,70,Otro,Norte,Casado,814477.8174768372,455859.41855462006,3003230.57662311,604.5481364276488,1,11,163,Bajo,Premium,5,1,Web,Jueves,1,5498,0
71,2020-08-14,61,Masculino,Sur,Casado,771676.7494208185,243134.65867341036,-140806.0578984595,806.1031096256554,15,12,88,Bajo,Basico,5,0,Tienda,Martes,12,9585,0
72,2022-01-30,54,Otro,Sur,Divorciado,1150646.1358974995,652152.04945754,1418090.3402060205,779.5502541302152,48,19,151,Alto,Premium,2,0,App,Domingo,12,9686,0
73,2023-01-14,48,Femenino,Centro,Casado,,,2275123.3696384784,631.453569194498,15,9,298,Alto,Estandar,3,0,App,Jueves,21,3513,1
74,2023-05-10,60,Otro,Norte,Casado,289837.7793653135,490136.04480328294,699194.4264360107,466.9320731876697,21,18,180,Bajo,Estandar,4,1,Tienda,Domingo,4,6956,0
75,2018-05-13,19,Otro,Norte,Casado,1075230.5523902036,403364.64624592516,1015112.4531617305,520.305151139133,116,3,64,Alto,Basico,4,0,Tienda,Miercoles,12,8718,1
76,2021-02-13,37,Otro,Centro,Casado,715927.9521559952,388590.9052162603,2436381.259230653,631.209649682875,26,5,298,Medio,Estandar,2,0,Web,Miercoles,23,3180,0
77,2022-03-21,58,Masculino,Sur,Divorciado,,445067.53073421074,2189658.611439037,717.7483351908463,86,4,246,Medio,Estandar,5,1,Tienda,Sabado,4,2595,0
78,2021-04-23,74,Femenino,Sur,Divorciado,1255323.3914981775,342467.767440622,2796670.9813436097,649.7433191802054,85,19,123,Medio,Estandar,3,0,Web,Martes,1,6592,0
79,2018-12-01,64,Femenino,Norte,Divorciado,639182.8891226372,275743.7317612471,1471581.2968274748,680.1970064858101,14,13,10,Alto,Premium,5,1,App,Viernes,3,4200,1
80,2022-04-02,26,Otro,Centro,Divorciado,705155.6308356251,26360.740604008373,2504726.8594568223,716.6651781086016,38,5,212,Medio,Basico,1,1,Tienda,Jueves,22,7244,1
81,2018-01-05,20,Otro,Sur,Divorciado,706594.6650997122,256185.0288496844,1707827.9029665028,,31,2,268,Bajo,Premium,2,1,App,Domingo,23,3831,1
82,2020-09-02,36,Femenino,Sur,Soltero,930630.4043757321,416103.07812207926,1983183.0773205967,552.3752851482385,101,6,156,Alto,Estandar,1,0,Tienda,Miercoles,16,6689,0
83,2020-07-22,57,Masculino,Centro,Casado,385468.21009708074,512866.96404171106,1774287.075410983,576.6970500560092,116,11,159,Bajo,Estandar,5,1,Tienda,Domingo,7,9342,0
84,2021-04-18,31,Otro,Centro,Divorciado,421734.20909663953,767822.7366339166,2846763.820872744,498.054000277044,79,3,219,Medio,Premium,5,1,Web,Miercoles,17,6831,0
85,2019-11-14,61,Otro,Centro,Soltero,515660.2588954087,164642.79035658826,2694847.54782699,758.35068516198,8,10,104,Bajo,Basico,2,1,Tienda,Miercoles,22,2325,0
86,2022-11-04,54,Otro,Sur,Casado,883953.2207268634,650427.4465438246,1927237.074703539,737.9466082404015,35,9,350,Alto,Basico,2,1,App,Lunes,12,1213,1
87,2018-03-09,61,Femenino,Sur,Divorciado,442716.47797892976,24556.900956828962,3513047.617109296,392.0382758551517,53,5,34,Alto,Premium,1,1,Tienda,Lunes,11,5221,1
88,2018-10-30,25,Masculino,Centro,Soltero,,467639.52251314826,2223815.0729604866,627.8396682605238,88,9,326,Bajo,Basico,4,0,App,Martes,23,9266,0
89,2020-04-26,60,Otro,Sur,Soltero,775561.380467845,,2022309.1023816764,522.00133207115,76,1,258,Bajo,Premium,3,0,Tienda,Viernes,6,5230,1
90,2020-09-14,68,Femenino,Norte,Soltero,909777.5658274823,,2576128.067580931,606.1620105029937,82,8,142,Alto,Premium,1,0,Tienda,Martes,0,8553,0
91,2020-10-01,61,Femenino,Sur,Soltero,931336.4781630272,447668.83495511656,3502797.445344951,441.3533375313837,15,6,152,Medio,Basico,3,0,Tienda,Miercoles,10,4102,0
92,2021-03-02,28,Femenino,Sur,Divorciado,916592.4592821926,140723.86181633786,2136780.1120850816,500.7147400980097,59,2,24,Medio,Estandar,3,0,Tienda,Miercoles,7,1263,0
93,2019-06-08,72,Masculino,Centro,Casado,859743.2478633088,314562.99315054115,1179119.7001506172,469.8586951464273,75,16,120,Bajo,Estandar,2,1,App,Sabado,6,2480,1
94,2020-01-11,77,Otro,Norte,Casado,1162120.026073817,430229.622930899,2690634.579917183,639.6219208068057,102,19,12,Medio,Estandar,5,1,Web,Martes,4,1325,0
95,2023-06-22,30,Masculino,Centro,Divorciado,779706.4425720689,323956.13371857046,810963.545264174,628.6286042339411,59,6,334,Bajo,Premium,5,1,App,Miercoles,5,9086,1
96,2021-06-15,52,Femenino,Sur,Soltero,695722.3230587539,587346.9773171276,1854966.6093943603,593.1558681352589,25,7,292,Alto,Premium,5,0,App,Martes,12,5250,0
97,2019-04-15,20,Femenino,Centro,Casado,793587.4304226729,124032.01429663307,1584847.046552713,547.909560575148,22,16,155,Alto,Premium,3,0,Web,Jueves,12,2661,1
98,2022-08-18,37,Femenino,Norte,Casado,853580.6189416372,314790.85259112564,1190090.1176194253,543.1389119334278,6,2,102,Alto,Basico,1,1,Tienda,Martes,5,2144,1
99,2019-04-11,58,Femenino,Sur,Casado,1110486.562014628,327335.6429508486,1909644.652537504,535.7027920858976,118,14,123,Alto,Premium,5,0,App,Jueves,9,5186,1
100,2021-08-06,22,Femenino,Sur,Casado,896639.2602811039,74771.0854320752,2201613.819558627,750.7579694995128,2,2,73,Alto,Premium,2,1,Tienda,Domingo,4,9766,0
101,2018-12-01,55,Otro,Norte,Divorciado,662382.2271833892,302599.2359966329,3298358.9567945097,644.564815456105,116,18,19,Alto,Estandar,1,1,App,Domingo,7,9126,1
102,2021-05-29,76,Otro,Centro,Soltero,1048900.8333352075,385467.32549184136,2841372.199729553,608.3738264186534,111,1,259,Bajo,Estandar,4,1,Web,Sabado,18,9118,1
103,2019-10-23,74,Femenino,Norte,Soltero,1013731.2341625595,426195.09234152205,2050039.9421029475,706.8253069977272,29,11,126,Medio,Premium,1,0,App,Lunes,8,2300,1
104,2018-12-09,23,Masculino,Norte,Casado,283200.2605736179,54394.81987596577,2310493.5928183002,552.886599859332,78,13,90,Bajo,Premium,5,1,App,Domingo,3,9094,0
105,2020-07-23,44,Masculino,Centro,Soltero,951327.3827275811,307791.58606566925,1062080.593901778,679.8448752884868,34,14,217,Bajo,Premium,5,0,Web,Martes,7,7212,0
106,2021-07-18,78,Masculino,Centro,Divorciado,706821.0753150274,156829.45081622765,1924305.991027895,679.3442202117345,59,19,136,Bajo,Basico,4,0,Tienda,Viernes,14,8929,1
107,2022-03-26,18,Femenino,Sur,Casado,912672.020906212,383444.0744753912,2377444.6318656956,585.0830393623887,31,4,28,Medio,Estandar,4,1,App,Jueves,17,2811,0
108,2021-05-21,56,Masculino,Sur,Divorciado,504932.1997374887,517235.0168416074,1798132.1654797057,547.4520623977935,28,16,110,Bajo,Estandar,2,1,Tienda,Jueves,6,9197,1
109,2019-11-15,71,Otro,Centro,Casado,1090874.1712413616,312719.6161002477,2458527.6902384255,538.0503823604454,87,6,28,Bajo,Estandar,4,1,Web,Viernes,15,4925,0
110,2020-04-02,29,Masculino,Sur,Soltero,845634.6516516455,625163.8560118852,1742999.2401447853,,24,15,208,Medio,Basico,5,0,Tienda,Domingo,1,5625,0
111,2018-04-03,38,Femenino,Sur,Divorciado,899868.969327396,494719.6516136888,1585877.7298515716,555.6802641580749,34,17,281,Medio,Estandar,4,0,Web,Martes,0,6076,0
112,2019-11-21,26,Masculino,Norte,Soltero,1232256.275528086,162923.18319436896,443359.41598889604,576.3315438422525,84,5,20,Medio,Basico,5,1,Web,Jueves,19,7897,0
113,2022-12-30,42,Masculino,Sur,Casado,555690.7331555772,147683.96737115885,2886603.6715181177,674.5374131815138,91,17,183,Alto,Basico,3,0,App,Viernes,14,7257,0
114,2022-10-19,56,Otro,Norte,Soltero,930325.9654142993,259187.25525838134,1412387.1604935057,762.8939380134352,51,9,241,Bajo,Estandar,2,0,Tienda,Miercoles,18,6820,0
115,2018-12-23,37,Masculino,Centro,Divorciado,906205.1530628891,283092.6966723388,1354687.7158229288,581.2713474204396,96,1,192,Medio,Estandar,1,0,Tienda,Lunes,0,4823,0
116,2018-06-12,47,Otro,Centro,Casado,946444.93158828,493964.83034666255,584167.0584162942,656.4331945768598,77,17,184,Medio,Premium,5,0,Tienda,Martes,12,8173,1
117,2018-02-25,49,Otro,Norte,Soltero,1206974.4347488775,,1405794.1661361638,621.2428335544071,12,17,210,Bajo,Basico,5,1,Tienda,Viernes,2,3244,1
118,2021-07-10,78,Masculino,Norte,Soltero,869869.1991675105,700475.4426798539,1425771.3607316734,600.0712135521421,18,5,73,Medio,Premium,1,1,App,Domingo,17,1345,0
119,2018-10-17,47,Masculino,Sur,Divorciado,443214.7459075446,545028.2476755092,2918498.22427919,,8,16,291,Bajo,Premium,1,1,Tienda,Viernes,12,7613,1
120,2020-07-07,37,Otro,Centro,Soltero,819196.2111431224,389032.33619523904,2479698.338838504,606.2447526539521,87,5,236,Bajo,Basico,3,1,Tienda,Lunes,5,5317,1
121,2021-09-27,69,Otro,Norte,Divorciado,727913.2842962779,477106.42211939517,1546358.4924664155,,57,5,183,Medio,Premium,5,0,App,Sabado,17,4520,1
122,2023-06-01,77,Otro,Norte,Casado,560258.9380998834,447992.6644944628,1818880.933488625,639.0498495961258,117,9,290,Medio,Basico,1,0,Web,Domingo,17,4942,1
123,2018-01-19,78,Masculino,Norte,Divorciado,329196.68017505965,219930.7290195676,2638523.797478152,453.1883267578453,17,12,37,Bajo,Premium,4,1,Web,Domingo,11,6654,0
124,2020-01-13,25,Otro,Centro,Casado,437091.2156822403,377516.26802973304,1779686.3351020336,748.0070744827153,27,9,104,Alto,Basico,5,1,Tienda,Sabado,0,9195,1
125,2019-03-02,41,Femenino,Sur,Divorciado,744463.0270468225,289434.932720897,2659419.166441436,644.7638775379507,71,1,246,Bajo,Estandar,3,0,Web,Viernes,12,4106,1
126,2021-01-21,66,Otro,Sur,Divorciado,989946.3261345505,488223.0711229517,1790519.2620466081,632.0307408185473,8,8,54,Alto,Basico,2,1,App,Lunes,23,8629,1
127,2018-08-23,54,Femenino,Centro,Soltero,659741.6183930702,519277.1703661549,178879.56463673897,632.5083866712996,36,2,287,Medio,Premium,2,0,Web,Lunes,20,2702,1
128,2022-12-16,46,Masculino,Centro,Soltero,972620.7399996354,408924.7680563433,1335709.623166693,702.8972214810178,54,12,200,Alto,Premium,5,1,Tienda,Domingo,13,8544,0
129,2022-07-26,18,Masculino,Norte,Casado,965697.9040927235,273805.22278627404,2122801.1242724424,669.337099939237,72,10,282,Medio,Basico,3,1,Web,Martes,11,5492,1
130,2021-06-11,75,Otro,Norte,Soltero,619135.6592261113,411111.01402485283,2466652.0473339073,663.297060355998,110,2,272,Medio,Estandar,1,1,Web,Sabado,21,5480,1
131,2023-03-28,59,Femenino,Sur,Divorciado,574886.2230102757,436608.75722905085,1029423.0963916917,704.1044691263544,81,1,275,Bajo,Estandar,3,0,Web,Lunes,23,9610,1
132,2020-01-03,70,Femenino,Sur,Soltero,959056.0784615935,456181.3826690752,4330212.537058692,623.232391505769,16,19,288,Alto,Premium,2,1,App,Sabado,21,4233,0
133,2019-03-04,33,Otro,Centro,Casado,1034398.5605034977,645651.1105791822,2450712.850207814,626.9561456552747,22,19,296,Bajo,Estandar,4,1,Tienda,Jueves,23,7937,0
134,2019-08-07,25,Femenino,Norte,Divorciado,750964.567778903,611191.9105273022,2511263.7459699055,675.5335899388708,116,6,24,Alto,Estandar,4,1,Web,Domingo,6,4719,0
135,2019-12-19,73,Femenino,Centro,Casado,961700.3525634918,376210.71145472873,1540351.3820981882,552.1555683763338,96,6,226,Alto,Estandar,1,0,Web,Jueves,22,6063,1
136,2018-10-03,73,Otro,Centro,Soltero,915607.1932738689,263486.24339298595,2523874.6087461333,640.306507313174,64,8,318,Bajo,Estandar,5,0,Tienda,Sabado,19,7541,1
137,2022-06-20,19,Otro,Centro,Casado,884725.3296565406,277245.9437960847,2401280.816170432,578.2647991749391,35,10,97,Bajo,Basico,1,1,Tienda,Sabado,20,8750,0
138,2018-01-18,36,Femenino,Centro,Divorciado,879805.4404205612,712684.627085923,840220.0781573444,650.0964536011018,106,1,350,Bajo,Premium,5,1,App,Domingo,22,6612,1
139,2018-03-07,34,Masculino,Centro,Divorciado,499825.0943053426,628853.6966785875,1410030.951193171,,98,14,199,Bajo,Estandar,4,1,App,Martes,17,2005,1
140,2019-09-28,32,Masculino,Centro,Casado,1211473.3430730237,275729.72130898316,3085098.2127651423,610.2924779904718,44,14,108,Medio,Estandar,1,1,Tienda,Domingo,10,2046,0
141,2018-04-03,45,Otro,Norte,Casado,1067861.2293490875,508074.1522006232,2721107.1433245325,571.7464758599313,73,10,41,Bajo,Premium,2,0,App,Viernes,21,1707,0
142,2021-10-06,32,Masculino,Sur,Casado,936637.9656384935,559193.7194725994,1882286.1040292054,702.7776129262261,5,9,170,Alto,Premium,1,0,App,Viernes,1,4421,0
143,2020-08-11,57,Femenino,Norte,Soltero,1073246.4353293818,385073.20356346865,1479218.1810140186,444.4182080671747,30,18,242,Bajo,Premium,5,0,App,Viernes,14,9424,1
144,2021-10-09,48,Masculino,Centro,Soltero,1199454.4296850143,225423.14673269558,2494702.9142382145,755.7411353451787,89,8,336,Alto,Estandar,4,0,Tienda,Viernes,10,6741,0
145,2022-02-14,61,Masculino,Norte,Casado,730284.8919620877,299766.47759929637,1805295.4250607148,570.2510440099848,45,15,90,Alto,Basico,3,0,Web,Viernes,5,7545,0
146,2022-09-26,64,Femenino,Centro,Soltero,323264.9666265882,380091.5195082674,1193735.662368442,589.2827484253575,112,18,106,Bajo,Estandar,2,0,Web,Miercoles,0,8511,0
147,2020-10-21,69,Femenino,Centro,Casado,532064.4032984829,398801.39166209724,1887038.2145295436,451.66336964194295,69,11,5,Alto,Estandar,4,1,Tienda,Domingo,10,1663,0
148,2020-05-09,69,Femenino,Centro,Divorciado,1170568.3879656065,339009.42100755725,1126766.4158186899,625.442551333232,24,5,94,Alto,Estandar,3,0,App,Viernes,2,7214,1
149,2020-01-21,39,Femenino,Centro,Soltero,896692.4417966411,376349.0174285204,2159233.7750018667,319.3122933763895,116,10,50,Alto,Basico,5,1,App,Viernes,9,2935,1
150,2018-08-23,55,Otro,Norte,Casado,1321539.234621272,396023.54171453556,2569373.186854208,575.1520487423236,23,12,56,Alto,Estandar,2,0,Tienda,Martes,1,9192,0
151,2020-12-12,19,Masculino,Sur,Casado,723588.2039134715,30973.5552130196,2304083.852244799,522.3021848540213,34,16,224,Bajo,Premium,5,1,Tienda,Lunes,10,8690,0
152,2021-09-07,52,Femenino,Norte,Soltero,816748.2040458127,644322.418544349,1318828.0680218479,563.5907076528947,32,8,40,Alto,Premium,5,0,Web,Jueves,18,6188,0
